time,qpos,qpos,qvel,qvel,ctrl,snsr,snsr,snsr,est_p,est_p,est_v,est_v,est_c,est_s,est_s,est_s,stddev_p,stddev_p,stddev_v,stddev_v,stddev_c,stddev_s,stddev_s,stddev_s,
0.08625,-0.03684,0,-0.838123,0,0,0,0,-0.03684,-0.0357923,-2.77653e-17,-0.83843,2.55153e-13,0,2.04048e-15,0,-0.0358076,1,1,68.8889,68.8331,0,1.00011,1e-07,1.00008,
0.0875,-0.0379025,0,-0.850033,0,0,0,0,-0.0379025,-0.03684,-9.10712e-16,-0.850349,2.55941e-13,0,2.91176e-16,0,-0.0368553,1,1,69.8831,69.8257,0,1.00011,1e-07,1.00008,
0.08875,-0.0389799,0,-0.861934,0,0,0,0,-0.0389799,-0.0379025,-3.73825e-16,-0.862259,2.27002e-13,0,-5.90785e-16,0,-0.0379178,1,1,70.8771,70.8181,0,1.00011,1e-07,1.00009,
0.09,-0.0400722,0,-0.873824,0,0,0,0,-0.0400722,-0.0389799,-1.27612e-15,-0.874158,2.56189e-13,0,-9.00722e-17,0,-0.0389952,1,1,71.871,71.8102,0,1.00011,1e-07,1.00009,
0.09125,-0.0411794,0,-0.885704,0,0,0,0,-0.0411794,-0.0400722,1.62212e-15,-0.886047,1.98948e-13,0,-9.5588e-16,0,-0.0400875,1,1,72.8646,72.8022,0,1.00011,1e-07,1.00009,
0.0925,-0.0423013,0,-0.897573,0,0,0,0,-0.0423013,-0.0411794,3.67706e-16,-0.897926,2.27266e-13,0,1.87081e-15,0,-0.0411946,1,1,73.8581,73.7939,0,1.00011,1e-07,1.00009,
0.09375,-0.0434381,0,-0.909432,0,0,0,0,-0.0434381,-0.0423013,1.59066e-15,-0.909794,1.99263e-13,0,6.51788e-16,0,-0.0423166,1,1,74.8513,74.7854,0,1.00012,1e-07,1.00009,
0.095,-0.0445897,0,-0.92128,0,0,0,0,-0.0445897,-0.0434381,-9.86515e-16,-0.921651,1.99119e-13,0,1.83974e-15,0,-0.0434534,1,1,75.8443,75.7767,0,1.00012,1e-07,1.00009,
0.09625,-0.0457561,0,-0.933116,0,0,0,0,-0.0457561,-0.0445897,1.20992e-15,-0.933497,1.70671e-13,0,-7.37616e-16,0,-0.044605,1,1,76.8372,76.7677,0,1.00012,1e-07,1.00009,
0.0975,-0.0469373,0,-0.944942,0,0,0,0,-0.0469373,-0.0457561,-1.02436e-15,-0.945333,1.41552e-13,0,1.42325e-15,0,-0.0457714,1,1,77.8298,77.7585,0,1.00012,1e-07,1.0001,
0.09875,-0.0481332,0,-0.956756,0,0,0,0,-0.0481332,-0.0469373,1.29748e-15,-0.957157,1.70014e-13,0,-8.47418e-16,0,-0.0469526,1,1,78.8222,78.749,0,1.00012,1e-07,1.0001,
0.1,-0.0493439,0,-0.968559,0,0,0,0,-0.0493439,-0.0481332,-2.19278e-15,-0.96897,1.42406e-13,0,1.50999e-15,0,-0.0481485,1,1,79.8143,79.7393,0,1.00012,1e-07,1.0001,
0.10125,-0.0505694,0,-0.98035,0,0,0,0,-0.0505694,-0.0493439,1.71915e-15,-0.980771,1.70912e-13,0,-2.01477e-15,0,-0.0493592,1,1,80.8063,80.7294,0,1.00012,1e-07,1.0001,
0.1025,-0.0518095,0,-0.99213,0,0,0,0,-0.0518095,-0.0505694,-1.03554e-16,-0.992561,1.98521e-13,0,1.93279e-15,0,-0.0505846,1,1,81.798,81.7192,0,1.00013,1e-07,1.0001,
0.10375,-0.0530644,0,-1.0039,0,0,0,0,-0.0530644,-0.0518095,-9.8018e-16,-1.00434,1.13899e-13,0,1.44598e-16,0,-0.0518248,1,1,82.7895,82.7088,0,1.00013,1e-07,1.0001,
0.105,-0.054334,0,-1.01565,0,0,0,0,-0.054334,-0.0530644,1.55335e-16,-1.01611,1.14569e-13,0,-8.37807e-16,0,-0.0530797,1,1,83.7808,83.6981,0,1.00013,1e-07,1.00011,
0.10625,-0.0556182,0,-1.0274,0,0,0,0,-0.0556182,-0.054334,3.03621e-16,-1.02786,1.42204e-13,0,2.98546e-16,0,-0.0543492,1,1,84.7718,84.6872,0,1.00013,1e-07,1.00011,
0.1075,-0.0569171,0,-1.03913,0,0,0,0,-0.0569171,-0.0556182,3.65096e-15,-1.0396,8.48701e-14,0,4.81376e-16,0,-0.0556335,1,1,85.7626,85.676,0,1.00013,1e-07,1.00011,
0.10875,-0.0582307,0,-1.05085,0,0,0,0,-0.0582307,-0.0569171,-1.59651e-15,-1.05133,1.42086e-13,0,3.75705e-15,0,-0.0569324,1,1,86.7532,86.6645,0,1.00013,1e-07,1.00011,
0.11,-0.0595589,0,-1.06255,0,0,0,0,-0.0595589,-0.0582307,9.63397e-16,-1.06305,1.42045e-13,0,-1.41891e-15,0,-0.0582459,1,1,87.7435,87.6528,0,1.00014,1e-07,1.00011,
0.11125,-0.0609017,0,-1.07425,0,0,0,0,-0.0609017,-0.0595589,-6.45764e-16,-1.07475,1.42287e-13,0,1.14095e-15,0,-0.0595741,1,1,88.7335,88.6408,0,1.00014,1e-07,1.00011,
0.1125,-0.0622591,0,-1.08593,0,0,0,0,-0.0622591,-0.0609017,1.51227e-15,-1.08645,1.42405e-13,0,-4.67905e-16,0,-0.0609169,1,1,89.7234,89.6285,0,1.00014,1e-07,1.00011,
0.11375,-0.0636311,0,-1.0976,0,0,0,0,-0.0636311,-0.0622591,-1.53831e-15,-1.09813,1.70053e-13,0,1.69028e-15,0,-0.0622743,1,1,90.7129,90.6159,0,1.00014,1e-07,1.00012,
0.115,-0.0650177,0,-1.10925,0,0,0,0,-0.0650177,-0.0636311,-7.62467e-16,-1.10979,1.98451e-13,0,-1.32574e-15,0,-0.0636463,1,1,91.7022,91.6031,0,1.00014,1e-07,1.00012,
0.11625,-0.0664188,0,-1.12089,0,0,0,0,-0.0664188,-0.0650177,1.22912e-15,-1.12145,1.99207e-13,0,-5.14403e-16,0,-0.0650329,1,1,92.6913,92.59,0,1.00014,1e-07,1.00012,
